site.id,state.country,site,project,lat,lon,elevation,mat,map,treatments,technique,season,biome,sub.biome,species,soil.type,soil.texture.class,perc.sand,perc.silt,perc.clay,start.date,C.pool.abg,C.pool.bwg,N.pool.abg,N.pool.bwg,P.pool.bwg,soil.depth.pool,Ndep.rate,bulk.density,pH,percent.om,source,notes,Reference
Toolik.1,Alaska,Toolik Lake,,68.63,-149.57,780,-8.5,347,T,greenhouse,summer,tundra,tussock tundra,mosses; graminoids; deciduous/evergreen dwarf shrubs,,,46,26,28,1989,,5655,,182,,0-15,,,4.6,62,Table 1,,Jonasson et al. 1999 (Ecology)/Schmidt et al. 2002
Toolik.2,Alaska,Toolik Lake,,68.63,-149.57,730,-8.5,347,T,greenhouse,summer,tundra,wet sedge,rhizomatous sedges,,,46,26,28,1989,,12859,,657,,>51,,,6,67,Table 1,,Jonasson et al. 1999 (Ecology)/Schmidt et al. 2002
Toolik.3,Alaska,Toolik Lake,,68.63,-149.57,730,-8.5,347,T,greenhouse,summer,tundra,moist acidic tussock tundra,,,,46,26,28,1989,,,,,,,,"O-horizon: 0.05, deep O-horizon: 0.17, mineral: 0.9 g cm-3",,,,,Sistla et al. 2013. Nature
Toolik.4,Alaska,Toolik Lake,,68.63,-149.57,760,-8.5,347,T,greenhouse,summer,tundra,upland tussock tundra,Eriophorum vaginatum; Betula nana; evergreen & deciduous shrubs; dwarf shrubs and mosses,,,46,26,28,Aug-90,,,,,,,,,5,,,different from other toolik sites: b/c using N15 tracer,Hobbie & Chapin 1998
Toolik.5,Alaska,Toolik Lake,,68.63,-149.72,720,-8.5,347,T,greenhouse,summer,tundra,wet sedge,Carex and Eriophorum vaginatum,,,,,,Aug-88,,,,,,,,,,,,,Boelman et al. 2003 (Oecologia)
Toolik.6.intertussock,Alaska,Toolik Lake,,68.63,-149.57,760,-8.5,347,T,greenhouse,summer,tundra,upland acidic tussock tundra,Eriophorum vaginatum; Betula nana; evergreen & deciduous shrubs; dwarf shrubs and mosses,,,,,,May-97,,,,,,,,,,,,adjacent to toolik 4; but examining tussock and inter-tussock areas,Grogan & Chapin (2000) Oecologia
Toolik.6.tussock,Alaska,Toolik Lake,,68.63,-149.57,760,-8.5,347,T,greenhouse,summer,tundra,upland acidic tussock tundra,Eriophorum vaginatum; Betula nana; evergreen & deciduous shrubs; dwarf shrubs and mosses,,,,,,May-97,,,,,,,,,,,,adjacent to toolik 4; but examining tussock and inter-tussock areas,Grogan & Chapin (2000) Oecologia
Utah.Castle,Utah,Upper Colorado Plateau; near Castle Valley,,38.67,-109.42,1310,12.2,236,T x h2o,IR heaters; hand pump sprayers,yearround,desert,cool desert grassland,perennial grasses: Pleuraphis jamesii and Achnatherum hymenoides; and Atriplex confertifolia (shrub); biological soil crust,,sandy loam,70,16,13,5-Sep,,,,,,,,1.35,7.77,0.82,Table 2,"has biocrust; start date is fall 2005 (so using ""september"" as month); climate data from WNA",Zelikova et al. 2012
Utah.Castle.2,Utah,Upper Colorado Plateau; near Castle Valley,,38.35,-109.53,1227,12.2,236,T,IR heaters; hand pump sprayers,yearround,desert,cool desert grassland,perennial grasses: Achnatherum hymenoides;,,sandy loam,70,16,13,2008,,,,,,,,1.35,7.77,0.82,,south of utah (so not castle valley),Wertin et al. 2016 (Funct Ecology)
Utah.GBER,Utah,Wasatch Plateau,Great Basin Experimental Range,39.3,-111.5,2900,1.7,902,T x N x grazing,OTC; (NH4)2SO4,,grassland,subalpine meadow,grasses: Achnatherum lettermanii; Elumus trachycaulus; Trisetum spicatum; forbs: Artemisia michauxiana; Taraxacum officinale,argic Cryoborolls,,,,,3-Jun,,,,,,,,,,,,range of sites varying in elevation; from 2700 to 3100m,Gill 2013
China.Yucheng.wheat.notill,China,Yucheng Comprehensive Experiment Station of China Academy of Science,,36.83,116.57,20,13.4,567,T,IR heaters,,crop,wheat and maize crop rotation,,Calcaric fluvisols,,12,66,22,10-Feb,,,,,,,,,8.6,,,Warming occurred on No till (NT) and Conventional Till (CT) plots,
China.Yucheng.wheat.till,China,Yucheng Comprehensive Experiment Station of China Academy of Science,,36.83,116.57,20,13.4,567,T,IR heaters,,crop,wheat and maize crop rotation,,Calcaric fluvisols,,12,66,22,10-Feb,,,,,,,,,8.6,,,Warming occurred on No till (NT) and Conventional Till (CT) plots,
China.Yucheng.maize.notill,China,Yucheng Comprehensive Experiment Station of China Academy of Science,,36.83,116.57,20,13.4,567,T,IR heaters,,crop,wheat and maize crop rotation,,Calcaric fluvisols,,12,66,22,10-Feb,,,,,,,,,8.6,,,Warming occurred on No till (NT) and Conventional Till (CT) plots,
China.Yucheng.maize.till,China,Yucheng Comprehensive Experiment Station of China Academy of Science,,36.83,116.57,20,13.4,567,T,IR heaters,,crop,wheat and maize crop rotation,,Calcaric fluvisols,,12,66,22,10-Feb,,,,,,,,,8.6,,,Warming occurred on No till (NT) and Conventional Till (CT) plots,
China.Yucheng.notill,China,Yucheng Comprehensive Experiment Station of China Academy of Science,,36.83,116.57,20,13.4,567,T,IR heaters,,crop,wheat and maize crop rotation,,Calcaric fluvisols,,12,66,22,10-Feb,,,,,,,,,8.6,,,Warming occurred on No till (NT) and Conventional Till (CT) plots,
China.Yucheng.till,China,Yucheng Comprehensive Experiment Station of China Academy of Science,,36.83,116.57,20,13.4,567,T,IR heaters,,crop,wheat and maize crop rotation,,Calcaric fluvisols,,12,66,22,10-Feb,,,,,,,,,8.6,,,Warming occurred on No till (NT) and Conventional Till (CT) plots,
TERA,Oregon,Willamette Valley,EPA's Terrestrial Ecophysiology Research Area (TERA),44.57,-123.28,,11.5,1086,T x co2,terracosm; sunlit chambers,,forest,douglas fir terracosm,,frigid Typic Hapludand,fine loam,,,,Jul-93,,,,,,,,,,,,Using terracosms with douglas and fir seedlings,Lin et al. 1999 (GCB); Lewis 1999; MAT & MAP from www.usclimatedata.com
Xainza,China,Xainza Alpine Steppe and Wetland Ecosystem Observation and Experiment Station; Tibet,,30.95,88.7,4675,0,300,T,OTC,,grassland,alpine grassland,Stipa purpurea; Carex moorcroftii; Oxytropis spp; Artemisia caplillaris; Aster tataricus,,,,,,10-Oct,,,,,,,,1.76,8.78,2.5,,,Lu et al. 2013 (PLoS ONE)
Aranjuez.low.biocrust,Spain,Aranjuez; central Spain,,40.03,-3.32,590,15,349,T x D,OTC & rainout shelters,,desert,semiarid shrub-grassland,Stipa tenacissima (grass); Helianthemum squamatum and Gypsophila struthium (shrubs),Gypsiric Leptosols,,,,22,8-Jul,,,,,,,,,7,,,little biocrust present; plant cover <40%,Maestre 2013 (GCB)
Aranjuez.high.biocrust,Spain,Aranjuez; central Spain,,40.03,-3.32,590,15,349,T x D,OTC & rainout shelters,,desert,semiarid shrub-grassland,Stipa tenacissima (grass); Helianthemum squamatum and Gypsophila struthium (shrubs),Gypsiric Leptosols,,,,22,8-Jul,,,,,,,,,7,,,lots of biocrust present; plant cover <40%,Maestre 2013 (GCB)
Huntington.2.5,New York,Anna and Archer Huntington Wildlife Forest; Adirondacks,,43.98,-74.23,530,4.4,1010,T,heating cables,snowfree period (May - Oct),forest,deciduous forest,Fagus grandifolia; Acer rubrum; Betula alleghaniensis,Typic Haplorthods,coarse loamy,,,,Apr-93,,,,,,,,,,,,,McHale et al. 1998
Huntington.5,New York,Anna and Archer Huntington Wildlife Forest; Adirondacks,,43.98,-74.23,530,4.4,1010,T,heating cables,snowfree period (May - Oct),forest,deciduous forest,Fagus grandifolia; Acer rubrum; Betula alleghaniensis,Typic Haplorthods,coarse loamy,,,,Apr-93,,,,,,,,,,,,,McHale et al. 1998
Huntington.7.5,New York,Anna and Archer Huntington Wildlife Forest; Adirondacks,,43.98,-74.23,530,4.4,1010,T,heating cables,snowfree period (May - Oct),forest,deciduous forest,Fagus grandifolia; Acer rubrum; Betula alleghaniensis,Typic Haplorthods,coarse loamy,,,,Apr-93,,,,,,,,,,,,,McHale et al. 1998
Finland-Mekri,Finland,Mekrijarvi Research Station of University of Joensuu,,62.78,30.97,145,2.1,667,T x co2,Closed-top whole-tree chamber with thermal glass,yearround,forest,Pine forest,Pinus silvestris; Calluna vulgaris; vaccinium vitis-idea,,sandy loam,,,,Sep-96,,,,,,,,,4.85,,,naturally regenerated Scots Pine forest (trees ca. 20 yrs old at start of experiment); treatments were yearround but temperature increase only effect in snow-free period,Niinisto et al. 2004 (GCB)
Helmholtz,Germany,Helmholtz Zentrum Munchen,,48.58,11.4,,,,T,lysimeter and heating wire,,crop,,,aric anthrosol,,,,,1996,,,,,,,,,,,,Transplanted monoliths into lysimeters,
York.bare,UK,experimental garden at University of York,,53.95,-1.05,,,,T,heating mesh,,crop,,,,sandy loam,,,,4-Jul,,,,,,,,,6.5,,,bare soil to get Rh (microbial respiration),Hartley et al. 2007
York.maize,UK,experimental garden at University of York,,53.95,-1.05,,,,T,heating mesh,,crop,maize,,,sandy loam,,,,4-Jul,,,,,,,,,6.5,,,,Hartley et al. 2007
York.wheat,UK,experimental garden at University of York,,53.95,-1.05,,,,T,heating mesh,,crop,wheat,,,sandy loam,,,,4-Jul,,,,,,,,,6.5,,,,Hartley et al. 2007
Hiroshima,Japan,Biosphere Department precision experimental field at Hiroshima University,,34.4,132.73,,13.7,,T x co2,OTC and increased CO2 in air within OTC,,forest,evergreen broad-leaved forest,Quercus glauca,,,,,,3-Apr,,,,,,,,,,,,4-yr old trees when experiment started (were transplanted at 3 years old),Wang et al. 2012 (Ecological Research)
Falkland.Islands,Antarctica,Falkland Islands; sub-Antarctica,,-51.76,-59.3,,6.7,,T,OTC,yearround,shrubland,dwarf shrub heathland,Empetrum rubrum,,,,,,3-Nov,,,,,,,,,,,,start date approximate (austral summer 2003-2004); naming it Antarctic tundra because Day et al. named Stepping Stones Island antarctic tundra as well,Yergeau et al. 2012 (ISME)
Signy.Island,Antarctica,Signy Island; South Orkney Islands; Antarctica,,-60.71,-45.59,,-3.3,,T,OTC,yearround,tundra,antarctic tundra,Chorisodontium aciphyllum (moss),,,,,,3-Nov,,,,,,,,,,,,start date approximate (austral summer 2003-2004); naming it Antarctic tundra because Day et al. named Stepping Stones Island antarctic tundra as well,Yergeau et al. 2012 (ISME)
Anchorage.Island,Antarctica,Anchorage Island; near Rothera Research Station; Antarctic Peninsula,,-67.61,-68.22,,-4.4,,T,OTC,yearround,tundra,antarctic tundra,Sanionia uncinata (moss),,,,,,3-Nov,,,,,,,,,,,,start date approximate (austral summer 2003-2004); naming it Antarctic tundra because Day et al. named Stepping Stones Island antarctic tundra as well,Yergeau et al. 2012 (ISME)
Dovrefjell.tundra,Norway,Fennoscendian mountains,,62.3,9.62,1050,1.15,473,T,OTC,,tundra,,Empetrum hermaphroditum; Vaccinium uliginosum; Vaccinium vitis-idea; Betula nana; bryophytes,,,,,,Jun-98,,10100,,,,0-18,,0.16,6.18,88.2,,data for organic horizon; MAT estimated by averaging Jan and Jun temperatures (verified with Abisko estimated and reported MAT),Sjogersten et al. 2003 (GCB)
Dovrefjell.forest,Norway,Fennoscendian mountains,,62.3,9.62,1050,1.15,473,T,OTC,,forest,,Betula pubescens (mountain birch),,,,,,Jun-98,,6300,,,,0-10,,0.15,4.46,68.4,,data for organic horizon; MAT estimated by averaging Jan and Jun temperatures (verified with Abisko estimated and reported MAT),Sjogersten et al. 2003 (GCB)
Abisko.tundra,Sweden,Fennoscendian mountains,,68.35,18.82,560,-0.7,304,T,OTC,,tundra,,Empetrum hermaphroditum; Vaccinium uliginosum; Vaccinium vitis-idea; Betula nana; bryophytes,,,,,,Jun-98,,3900,,,,0-7,,0.14,3.86,96.2,,data for organic horizon,Sjogersten et al. 2003 (GCB)
Abisko.forest,Sweden,Fennoscendian mountains,,68.35,18.82,560,-0.7,304,T,OTC,,forest,,Betula pubescens (mountain birch),,,,,,Jun-98,,1300,,,,0-5,,0.066,5.22,94.18,,data for organic horizon,Sjogersten et al. 2003 (GCB)
Joatka.tundra,Norway,Fennoscendian mountains,,69.75,23.98,460,-1.5,354,T,OTC,,tundra,,Empetrum hermaphroditum; Vaccinium uliginosum; Vaccinium vitis-idea; Betula nana; bryophytes,,,,,,Jun-98,,2400,,,,0-4,,0.15,4.03,79.8,,data for organic horizon; MAT estimated by averaging Jan and Jun temperatures (verified with Abisko estimated and reported MAT),Sjogersten et al. 2003 (GCB)
Joatka.forest,Norway,Fennoscendian mountains,,69.75,23.98,460,-1.5,354,T,OTC,,forest,,Betula pubescens (mountain birch),,,,,,Jun-98,,2000,,,,0-4,,0.18,4.07,78.9,,data for organic horizon; MAT estimated by averaging Jan and Jun temperatures (verified with Abisko estimated and reported MAT),Sjogersten et al. 2003 (GCB)
Gainesville.lowT,Florida,USDA-ARS,,29.6,-82.4,,20.4,1200,T x co2,Temperature Gradient Tunnels & FACE,,forest,,orange trees,,,,,,1994,,,,,,,,,,,,,Allen and Vu 2009 (Agric. Forest Meteorology)
Gainesville.medT,Florida,USDA-ARS,,29.6,-82.4,,20.4,1200,T x co2,Temperature Gradient Tunnels & FACE,,forest,,orange trees,,,,,,1994,,,,,,,,,,,,,Allen and Vu 2009 (Agric. Forest Meteorology)
Gainesville.highT,Florida,USDA-ARS,,29.6,-82.4,,20.4,1200,T x co2,Temperature Gradient Tunnels & FACE,,forest,,orange trees,,,,,,1994,,,,,,,,,,,,,Allen and Vu 2009 (Agric. Forest Meteorology)
climex,"Risdalsheia, near Grimstad, Norway",,,58.38,8.32,,5,1400,T x co2,greenhouse,,forest,boreal forest,Pinus silvestris; Calluna vulgaris; Betula pubsescens; vaccinium myrtillis; vaccinium vitis,,,,,,Apr-94,,,,,,,,,4,12,,% soc is 4-20%; greenhouse is at the ecosystem level (1200 m2 greenhouse); no co2 or temperature singularly manipulated; only TxCO2,
inra,"Clermont-Ferrand, France",INRA-Agronomie,,45.8,3.09,,10.6,628,T x co2 x N,tunnel,,grassland,,Lolium perennne,,,,,,Mar-93,,,,,,,,,,,,,Casella et al. 1996
flak.wtc,Sweden,Flakaliden,,64.1,19.45,310,2,600,T x co2,whole-tree chamber,,forest,boreal forest,Picea abies,,,,,,1-Jun,,,,,,,,,,,,,Comstedt et al. 2006
soyface,Illinois,soyFace,,40.04,-88.23,,11,1000,T x co2,"IR, FACE",,crop,,soybean-maize,mesic typic endoaquoll,silt loam,,,,2009,,,,,,,,,,,,,Black et al. 201 (GCB)
Haibei.2,China,Qinghai-Tibet Plateau; Tibet,Haibei Grassland Ecological Monitoring Station,36.9,100.85,3140,1.34,408.45,T,OTC,,grassland,,"Kobresia humilis;Stipa sareptana; Stipa purpurea, Koeleria cristata, Artemisia scoparia, Aster tataricus",,sandy loam,,,,10-Aug,,,,,,,,,7.77,,,,Chen et al. 2016 (Agric. Forest Met.)
nagqu.1,China,Tibet,,31.44,92.02,4500,-1.2,431.7,T,OTC,,grassland,alpine meadow,Kobresia pygmaea; Carex moorcroftii,,,,,16,11-Jul,,,,,,,,1.01,7.05,4.139,,,Ganjurjav et al. 2015; Plos One
nagqu.2,China,Climate Change Scientific Observation Field Station,,31.44,101.17,4500,-3,450,T,OTC,,grassland,alpine meadow,,,,,,16,2010,,,,,,,,,7.06,,,,Wang et al. 2014; SBB
Haibei.3,China,Qinghai-Tibet Plateau; Tibet,Haibei Alpine Grassland Ecosystem Research Station,37.6,101.3,3200,-2,561,T,OTC,,grassland,alpine meadow,,,,,,18,2002,,,,,,,,,,,,,Wang et al. 2014; SBB
Ailaoshan,China,Ailaoshan Station for Subtropical Forest Ecosystem Studies,Chinese ecologican network,24.53,101,2480,11.3,1778,T,IR heaters,,forest,subtropical forest,"Lithocarpus xylocarpus, Lithocarpus hancei, and Castanopsis wattii",alfisols,,,,48,10-Oct,,,,,,,,,4.5,67.55555556,,humus horizon,Wu et al. 2016; Scientific Reports
Abisko.5,Sweden,Abisko,,68.35,20.85,,0.5,300,T,OTC,,tundra,heathland,,,,,,,12-May,,,,,,,,,6.7,30,,,Rousk et al. 2016; GCB
Pyrenees.V.myrtillus,Spain,,,42.6,1,2250,3,1146.4,T,OTC,,shrubland,subalpine heathland,Vaccinium myrtillus,,,,,,10-Jul,,,,,,,,,4.5,13.965,,,Anadon-Rosell 2017; GCB
Pyrenees.mixed,Spain,,,42.6,1,2250,3,1146.4,T,OTC,,shrubland,subalpine heathland,Vaccinium myrtillus and V. uligiosum,,,,,,10-Jul,,,,,,,,,4.5,15.81,,,Anadon-Rosell 2017; GCB
Pyrenees.V.Uligiosum,Spain,,,42.6,1,2250,3,1146.4,T,OTC,,shrubland,subalpine heathland,V. uligiosum,,,,,,10-Jul,,,,,,,,,4.5,13.795,,,Anadon-Rosell 2017; GCB
